Latitude,Longitude,ZipCode,Location
39.286468,-76.596843,21231,[39.286468\, -76.596843]
39.302958000000004,-76.66897800000001,21216,[39.302958000000004\, -76.66897800000001]
39.293917,-76.601228,21202,[39.293917\, -76.601228]
39.307293,-76.644574,21217,[39.307293\, -76.644574]
39.287529,-76.635958,21223,[39.287529\, -76.635958]
39.307301,-76.644213,21217,[39.307301\, -76.644213]
39.287504,-76.59804399999999,21231,[39.287504\, -76.59804399999999]
39.304339,-76.63559000000001,21217,[39.304339\, -76.63559000000001]
39.307159000000006,-76.66556800000001,21216,[39.307159000000006\, -76.66556800000001]
39.345195000000004,-76.6714,21215,[39.345195000000004\, -76.6714]
39.300113,-76.577437,21205,[39.300113\, -76.577437]
39.303492,-76.64388000000001,21217,[39.303492\, -76.64388000000001]
39.294235,-76.60214,21202,[39.294235\, -76.60214]
39.309002,-76.669338,21216,[39.309002\, -76.669338]
39.248642,-76.625822,21225,[39.248642\, -76.625822]
39.312303,-76.584864,21213,[39.312303\, -76.584864]
39.290333000000004,-76.623777,21201,[39.290333000000004\, -76.623777]
39.313396000000004,-76.612605,21218,[39.313396000000004\, -76.612605]
39.304809999999996,-76.635305,21217,[39.304809999999996\, -76.635305]
39.287744,-76.614863,21201,[39.287744\, -76.614863]
39.284365,-76.64355400000001,21223,[39.284365\, -76.64355400000001]
39.287102000000004,-76.55498100000001,21224,[39.287102000000004\, -76.55498100000001]
39.297164,-76.610635,21202,[39.297164\, -76.610635]
39.242728,-76.62679200000001,21225,[39.242728\, -76.62679200000001]
39.311621,-76.61642900000001,21218,[39.311621\, -76.61642900000001]
39.316015,-76.579655,21213,[39.316015\, -76.579655]
39.306819,-76.644299,21217,[39.306819\, -76.644299]
39.251197,-76.631439,21225,[39.251197\, -76.631439]
39.303537,-76.666169,21216,[39.303537\, -76.666169]
39.299445,-76.627015,21201,[39.299445\, -76.627015]
39.308811999999996,-76.648124,21217,[39.308811999999996\, -76.648124]
39.299890999999995,-76.625654,21201,[39.299890999999995\, -76.625654]
39.247049,-76.62880200000001,21225,[39.247049\, -76.62880200000001]
39.297907,-76.57646700000001,21205,[39.297907\, -76.57646700000001]
39.294744,-76.659277,21223,[39.294744\, -76.659277]
39.29511,-76.613871,21202,[39.29511\, -76.613871]
39.288149,-76.596439,21231,[39.288149\, -76.596439]
39.311215999999995,-76.609619,21202,[39.311215999999995\, -76.609619]
39.299822,-76.60439699999999,21202,[39.299822\, -76.60439699999999]
39.29908,-76.62652299999999,21201,[39.29908\, -76.62652299999999]
39.300299,-76.605958,21202,[39.300299\, -76.605958]
39.299978,-76.624747,21201,[39.299978\, -76.624747]
39.293477,-76.600734,21202,[39.293477\, -76.600734]
39.300228000000004,-76.60470600000001,21202,[39.300228000000004\, -76.60470600000001]
39.299696999999995,-76.585991,21205,[39.299696999999995\, -76.585991]
39.286512,-76.59544,21231,[39.286512\, -76.59544]
39.300940999999995,-76.634893,21217,[39.300940999999995\, -76.634893]
39.304575,-76.64340899999999,21217,[39.304575\, -76.64340899999999]
39.303422,-76.63683,21217,[39.303422\, -76.63683]
39.320879999999995,-76.61114599999999,21218,[39.320879999999995\, -76.61114599999999]
39.286315,-76.61936899999999,21201,[39.286315\, -76.61936899999999]
39.244608,-76.628547,21225,[39.244608\, -76.628547]
39.287065000000005,-76.595261,21231,[39.287065000000005\, -76.595261]
39.293836999999996,-76.622571,21201,[39.293836999999996\, -76.622571]
39.283009,-76.649783,21223,[39.283009\, -76.649783]
39.305867,-76.644053,21217,[39.305867\, -76.644053]
39.302116999999996,-76.615922,21201,[39.302116999999996\, -76.615922]
39.244914,-76.62585,21225,[39.244914\, -76.62585]
39.297505,-76.62287099999999,21201,[39.297505\, -76.62287099999999]
39.244515,-76.628794,21225,[39.244515\, -76.628794]
39.293879,-76.682463,21229,[39.293879\, -76.682463]
39.307524,-76.65807099999999,21216,[39.307524\, -76.65807099999999]
39.283535,-76.59318499999999,21231,[39.283535\, -76.59318499999999]
39.308665999999995,-76.652666,21216,[39.308665999999995\, -76.652666]
39.289324,-76.620985,21201,[39.289324\, -76.620985]
39.309211,-76.641625,21217,[39.309211\, -76.641625]
39.283770000000004,-76.644949,21223,[39.283770000000004\, -76.644949]
39.325619,-76.608589,21218,[39.325619\, -76.608589]
39.305305,-76.643799,21217,[39.305305\, -76.643799]
39.359001,-76.694334,21215,[39.359001\, -76.694334]
39.300272,-76.602871,21202,[39.300272\, -76.602871]
