"CrimeDate","CrimeTime","CrimeCode","Location","Description","Inside/Outside","Weapon","Post","District","Neighborhood","Longitude","Latitude","Location 1","Premise","vri_name1","Total Incidents"
1544227200000,"18:55:00","9S","200 N CASTLE ST","SHOOTING","Outside","FIREARM",212,"SOUTHEAST",null,-76.5884867087,39.2945627716,null,"STREET",null,1
1544140800000,"20:43:00","9S","5300 READY AV","SHOOTING","Outside","FIREARM",524,"NORTHERN",null,-76.6078788194,39.3538405968,null,"STREET",null,1
1544140800000,"21:32:00","9S","1400 W OSTEND ST","SHOOTING","Outside","FIREARM",932,"SOUTHERN","WASHINGTON VILLAGE",-76.634963,39.282511,null,"STREET",null,1
1544140800000,"11:59:00","9S","600 N LAKEWOOD AV","SHOOTING","Outside","FIREARM",221,"SOUTHEAST","MCELDERRY PARK",-76.579447,39.298153,null,"STREET",null,1
1544054400000,"17:50:00","9S","2000 MC KEAN AV","SHOOTING","Outside","FIREARM",731,"WESTERN","MONDAWMIN",-76.6475033837,39.3116916291,null,"STREET","Western",1
1543968000000,"00:47:00","9S","5200 ST CHARLES AV","SHOOTING","Outside","FIREARM",634,"NORTHWEST","WOODMERE",-76.6830019558,39.3445743416,null,"STREET",null,1
1543968000000,"00:47:00","9S","5200 ST CHARLES AV","SHOOTING","Outside","FIREARM",634,"NORTHWEST","WOODMERE",-76.6830019558,39.3445743416,null,"STREET",null,1
1543968000000,"04:43:00","9S","3400 ANNAPOLIS RD","SHOOTING","Inside","FIREARM",922,"SOUTHERN","CHERRY HILL",-76.6398640251,39.2485050774,null,"COMMON BUSINESS",null,1
1543881600000,"19:37:00","9S","300 S CATON AV","SHOOTING","Outside","FIREARM",832,"SOUTHWEST","GWYNNS FALLS",-76.6716836024,39.2807319081,null,"STREET",null,1
1543881600000,"19:26:00","9S","1300 WOODBOURNE AV","SHOOTING","Outside","FIREARM",414,"NORTHEAST","WOODBOURNE HEIGHTS",-76.593282,39.354152,null,"STREET",null,1
1543881600000,"19:26:00","9S","1300 WOODBOURNE AV","SHOOTING","Outside","FIREARM",414,"NORTHEAST","WOODBOURNE HEIGHTS",-76.593282,39.354152,null,"STREET",null,1
1543881600000,"22:04:00","9S","5600 LOCH RAVEN BLVD","SHOOTING","Outside","FIREARM",415,"NORTHEAST","LOCH RAVEN",-76.588424,39.359697,null,"STREET",null,1
1543795200000,"05:45:00","9S","5600 CARTER AV","SHOOTING","Outside","FIREARM",425,"NORTHEAST","GLENHAM-BELFORD",-76.55406,39.349706,null,"STREET",null,1
1543795200000,"23:08:00","9S","4500 PALL MALL RD","SHOOTING","Outside","FIREARM",532,"NORTHERN","PARKLANE",-76.664389,39.341428,null,"STREET",null,1
1543795200000,"22:13:00","9S","1900 BELAIR RD","SHOOTING","Outside","FIREARM",331,"EASTERN","SOUTH CLIFTON PARK",-76.584042,39.31264,null,"STREET",null,1
1543708800000,"17:45:00","9S","400 N CURLEY ST","SHOOTING","Outside","FIREARM",224,"SOUTHEAST","BAYVIEW",-76.5757867538,39.2962578482,null,"STREET",null,1
1543708800000,null,"9S","2700 MAYFIELD AV","SHOOTING","Outside","FIREARM",432,"NORTHEAST",null,-76.575655,39.324143,null,"STREET",null,1
1543708800000,"17:45:00","9S","400 N CURLEY ST","SHOOTING","Outside","FIREARM",224,"SOUTHEAST","BAYVIEW",-76.5757867538,39.2962578482,null,"STREET",null,1
1543622400000,"12:00:00","9S","400 LYMAN AV","SHOOTING","Inside","FIREARM",523,"NORTHERN","HOMELAND",-76.610476,39.358971,null,"DWELLING",null,1
1543622400000,"15:20:00","9S","1900 DRUID HILL AV","SHOOTING","Outside","FIREARM",131,"CENTRAL","DRUID HEIGHTS",-76.6345625758,39.3068143974,null,"STREET",null,1
1543622400000,"19:29:00","9S","1200 E LAFAYETTE AV","SHOOTING","Outside","FIREARM",343,"EASTERN","OLIVER",-76.602460194,39.3103925536,null,"STREET","Eastern 1",1
1543622400000,"18:44:00","9S","2400 BRENTWOOD AV","SHOOTING","Outside","FIREARM",341,"EASTERN","BARCLAY",-76.610443,39.31628,null,"PUBLIC AREA",null,1
1543536000000,"12:56:00","9S","1200 CLENDENIN ST","SHOOTING","Outside","FIREARM",733,"WESTERN","PENN NORTH",-76.638077892,39.310961182,null,"ALLEY",null,1
1543363200000,"04:41:00","9S","3300 PIEDMONT AV","SHOOTING","Outside","FIREARM",641,"NORTHWEST","WINDSOR HILLS",-76.6730826356,39.3163669892,null,"PUBLIC AREA",null,1
1543363200000,"20:50:00","9S","700 VINE ST","SHOOTING","Outside","FIREARM",122,"CENTRAL","REMINGTON",-76.628904,39.290648,null,"DWELLING",null,1
1543276800000,"22:47:00","9S","500 WINSTON AV","SHOOTING","Outside","FIREARM",524,"NORTHERN","COLDSPRING",-76.6091592138,39.350147961,null,"STREET",null,1
1543276800000,"12:52:00","9S","600 N ELLWOOD AV","SHOOTING","Inside","FIREARM",224,"SOUTHEAST","ELLWOOD PARK/MONUMEN",-76.5738,39.298494,null,"DWELLING",null,1
1543276800000,"12:52:00","9S","600 N ELLWOOD AV","SHOOTING","Inside","FIREARM",224,"SOUTHEAST","ELLWOOD PARK/MONUMEN",-76.5738,39.298494,null,"DWELLING",null,1
1543276800000,"22:47:00","9S","500 WINSTON AV","SHOOTING","Outside","FIREARM",524,"NORTHERN","COLDSPRING",-76.6091592138,39.350147961,null,"STREET",null,1
1543276800000,"11:50:00","9S","1700 PRESBURY ST","SHOOTING","Outside","FIREARM",742,"WESTERN","SANDTOWN-WINCHESTER",-76.6449288757,39.3079912104,null,"STREET","Western",1
1543104000000,"12:20:00","9S","1200 E LAFAYETTE AV","SHOOTING","Outside","FIREARM",343,"EASTERN","OLIVER",-76.602460194,39.3103925536,null,"STREET","Eastern 1",1
1543104000000,"12:20:00","9S","1200 E LAFAYETTE AV","SHOOTING","Outside","FIREARM",343,"EASTERN","OLIVER",-76.602460194,39.3103925536,null,"STREET","Eastern 1",1
1542931200000,"06:41:00","9S","3000 S HANOVER ST","SHOOTING","Outside","FIREARM",922,"SOUTHERN","MIDDLE BRANCH/REEBIRD PARKS",-76.6149802675,39.2513767098,null,"HOSPITAL",null,1
1542931200000,"12:54:00","9S","1200 W BALTIMORE ST","SHOOTING","Outside","FIREARM",931,"WESTERN","POPPLETON",-76.637525,39.288557,null,"COMMON BUSINESS",null,1
1542931200000,"13:38:00","9S","1000 E 20TH ST","SHOOTING","Outside","FIREARM",342,"EASTERN","EAST BALTIMORE MIDWA",-76.605186,39.312733,null,"STREET",null,1
1542931200000,"12:54:00","9S","1200 W BALTIMORE ST","SHOOTING","Outside","FIREARM",931,"WESTERN","POPPLETON",-76.637525,39.288557,null,"COMMON BUSINESS",null,1
1542931200000,"13:38:00","9S","1000 E 20TH ST","SHOOTING","Outside","FIREARM",342,"EASTERN","EAST BALTIMORE MIDWA",-76.605186,39.312733,null,"STREET",null,1
1542931200000,"21:36:00","9S","4300 BELAIR RD","SHOOTING","Outside","FIREARM",422,"NORTHEAST","BELAIR-EDISON",-76.565329,39.328289,null,"PUBLIC AREA","Northeastern",1
1542844800000,"19:21:00","9S","200 N MONASTERY AV","SHOOTING","Outside","FIREARM",843,"SOUTHWEST","ALLENDALE",-76.6746703228,39.2893983943,null,"STREET",null,1
1542758400000,"21:57:00","9S","0 S GAY ST","SHOOTING","Outside","FIREARM",111,"CENTRAL","DOWNTOWN",-76.6088969214,39.289697803,null,"STREET",null,1
1542585600000,"20:26:00","9S","1000 MC KEAN AV","SHOOTING","Outside","FIREARM",743,"WESTERN","SANDTOWN-WINCHESTER",-76.6468481638,39.3002435094,null,"STREET",null,1
1542499200000,"00:59:00","9S","4000 HAYWARD AV","SHOOTING","Outside","FIREARM",623,"NORTHWEST","WOODMERE",-76.6845998797,39.346244068,null,"STREET","Northwestern",1
1542412800000,"15:04:00","9S","400 MILLINGTON AV","SHOOTING","Outside","FIREARM",841,"SOUTHWEST","MILL HILL",-76.656961,39.281225,null,"STREET",null,1
1542412800000,"19:27:00","9S","1500 RAMSAY ST","SHOOTING","Outside","FIREARM",935,"SOUTHERN","NEW SOUTHWEST/MOUNT CLARE",-76.6407757757,39.2833756285,null,"STREET","Tri-District",1
1542412800000,"22:54:00","9S","1700 DUNDALK AV","SHOOTING","Outside","FIREARM",243,"SOUTHEAST","MEDFORD/BROENING MAN",-76.5322456161,39.2747537284,null,"STREET",null,1
